,City,Country,Latitude,Longitude,Date,Temp,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed
0,Airai,TL,-8.93,125.41,1586970338,61.65,61.65,61.65,69,100,2.89
1,Husavik,IS,66.04,-17.34,1586970802,37.4,37.4,37.4,74,75,6.93
2,Punta Arenas,CL,-53.15,-70.92,1586970338,52.57,55.4,51.01,71,99,6.93
3,Saskylakh,RU,71.92,114.08,1586970343,-5.26,-5.26,-5.26,91,94,6.2
4,Ushuaia,AR,-54.8,-68.3,1586970337,51.8,51.8,51.8,66,20,4.92
5,Biloela,AU,-24.42,150.5,1586970802,61.09,61.09,61.09,84,0,5.21
6,Cape Town,ZA,-33.93,18.42,1586970057,63.9,66.0,61.0,63,100,6.93
7,Kapaa,US,22.08,-159.32,1586970324,68.0,68.0,68.0,59,43,11.12
8,Albany,US,42.6,-73.97,1586970246,41.47,46.99,35.01,39,75,14.99
9,Tiksi,RU,71.69,128.87,1586970414,-1.64,-1.64,-1.64,91,100,9.22
10,Bluff,NZ,-46.6,168.33,1586970343,50.0,50.0,50.0,85,57,13.0
11,Russell,US,32.35,-85.2,1586970809,59.99,63.0,57.2,31,1,8.05
12,Abu Samrah,SY,35.3,37.18,1586970484,61.92,61.92,61.92,37,68,6.42
13,Rikitea,PF,-23.12,-134.97,1586970337,75.69,75.69,75.69,68,58,2.84
14,Ust'-Karsk,RU,52.7,118.81,1586970809,37.62,37.62,37.62,62,63,1.83
15,Cayenne,GF,4.93,-52.33,1586970459,87.8,87.8,87.8,58,75,10.29
16,Ponte de Sôr,PT,39.25,-8.01,1586970809,63.36,64.99,61.0,45,14,5.99
17,Aasiaat,GL,68.71,-52.87,1586970810,25.97,25.97,25.97,88,99,17.2
18,Maridi,SS,4.92,29.47,1586970810,76.06,76.06,76.06,49,58,1.86
19,East London,ZA,-33.02,27.91,1586970340,67.1,67.1,67.1,73,90,11.92
20,Omboué,GA,-1.57,9.26,1586970811,81.93,81.93,81.93,85,74,8.03
21,Mataura,NZ,-46.19,168.86,1586970336,50.0,50.0,50.0,85,62,13.0
22,Voh,NC,-20.97,164.7,1586970816,74.17,74.17,74.17,83,31,6.89
23,Isparta Province,TR,38.0,31.0,1586970818,53.6,53.6,53.6,62,75,17.22
24,Mazatlan,MX,25.2,-99.82,1586970818,58.44,58.44,58.44,61,100,6.2
25,Busselton,AU,-33.65,115.33,1586970362,52.9,55.0,51.01,59,34,5.41
26,Puerto Quijarro,BO,-17.78,-57.77,1586970664,81.82,81.82,81.82,35,0,6.76
27,Beringovskiy,RU,63.05,179.32,1586970824,20.39,20.39,20.39,97,98,9.98
28,Vaini,TO,-21.2,-175.2,1586970346,69.8,69.8,69.8,100,75,3.36
29,Xalapa,MX,19.53,-96.92,1586970825,65.48,65.48,65.48,61,100,2.19
30,Bredasdorp,ZA,-34.53,20.04,1586970335,62.78,64.4,61.0,72,99,8.05
31,Fort-Shevchenko,KZ,44.51,50.26,1586970826,52.21,52.21,52.21,70,5,26.71
32,Davila,PH,18.47,120.58,1586970826,75.88,75.88,75.88,87,71,16.28
33,Yellowknife,CA,62.46,-114.35,1586970365,19.9,21.99,19.0,79,75,11.41
34,Mahébourg,MU,-20.41,57.7,1586970362,78.08,78.8,77.0,78,40,16.11
35,Port Elizabeth,ZA,-33.92,25.57,1586970335,64.4,64.4,64.4,82,19,3.36
36,Taoudenni,ML,22.68,-3.98,1586970399,95.29,95.29,95.29,17,0,7.61
37,Mayo,US,38.89,-76.51,1586970355,49.12,52.0,46.0,42,20,10.29
38,Upernavik,GL,72.79,-56.15,1586970420,20.91,20.91,20.91,89,0,8.9
39,Nova Viçosa,BR,-17.89,-39.37,1586970827,81.91,81.91,81.91,74,72,7.94
40,Coyhaique,CL,-45.58,-72.07,1586970482,53.2,57.2,51.8,81,90,3.36
41,Palembang,ID,-2.92,104.75,1586970828,75.18,75.18,75.18,95,100,0.78
42,Longyearbyen,SJ,78.22,15.64,1586970366,35.6,35.6,35.6,69,75,26.4
43,Bengkulu,ID,-3.8,102.27,1586970092,78.42,78.42,78.42,82,100,4.45
44,Ushtobe,KZ,45.25,77.98,1586970828,49.26,49.26,49.26,52,98,5.12
45,Goba,ET,7.02,39.98,1586970828,54.21,54.21,54.21,39,100,4.12
46,Atuona,PF,-9.8,-139.03,1586970346,82.08,82.08,82.08,77,58,10.78
